"","r","Freq"
"13178","Scott's - Bell 47, Inc. 47G-2",2
"13179","Scott's - Bell 47, Inc. 47G-2A",4
"13180","Scott's - Bell 47, Inc. 47G-2A-1",3
"13181","Scott's - Bell 47, Inc. 47G-3",4
"13182","Scott's - Bell 47, Inc. 47G-3B",3
"13183","Scott's - Bell 47, Inc. 47G-3B-1",3
"13184","Scott's - Bell 47, Inc. 47G-3B-2",3
"13185","Scott's - Bell 47, Inc. 47G-3B-2A",3
"13186","Scott's - Bell 47, Inc. 47G-4",3
"13187","Scott's - Bell 47, Inc. 47G-4A",3
"13188","Scott's - Bell 47, Inc. 47G-5",3
"13189","Scott's - Bell 47, Inc. 47G-5A",3
"13190","Scott's - Bell 47, Inc. 47H-1",1
"13191","Scott's - Bell 47, Inc. 47J",2
"13192","Scott's - Bell 47, Inc. 47J-2",2
"13193","Scott's - Bell 47, Inc. 47J-2A",2
"13194","Short Brothers PLC SD3-30",1
"13195","Short Brothers PLC SD3-60",1
"13196","Short Brothers PLC SD3-60 SHERPA",1
"13197","Short Brothers PLC SD3-SHERPA",1
"13198","Short Brothers SD-3-30",1
"13199","Short Brothers SD-60 (TC A41EU",1
"13200","Short Brothers SD3-30",1
"13201","Short Brothers SD3-60",2
"13202","Short Brothers SD3-SHERPA",1
"13203","Siam Hiller UH-12E",1
"13204","Siam Hiller UH-12E-L",1
"13205","Sierra Hotel Aero, Inc. H s/n NAV-4-2351 thru NAV-4-2561",1
"13206","Sierra Hotel Aero, Inc. Navion (L-17A",1
"13207","Sierra Hotel Aero, Inc. Navion G",1
"13208","Sikorksy  S-92A",1
"13209","Sikorsky ",1
"13210","Sikorsky -76A",1
"13211","Sikorsky  B",4
"13212","Sikorsky  C",6
"13213","Sikorsky  S-76A",4
"13214","Sikorsky  S-76B",2
"13215","Sikorsky  S-76C",3
"13216","Sikorsky  S-76C with Honeywell EDZ-756 EFIS",1
"13217","Sikorsky  S-92A",1
"13218","Sikorsky  S/N 760511",1
"13219","Sikorsky  S76A",3
"13220","Sikorsky  S76B",1
"13221","Sikorsky  S92A",1
"13222","Sikorsky  subsequent",1
"13223","Sikorsky A",1
"13224","Sikorsky A-61N",2
"13225","Sikorsky Aircraft Corporation S-76A",3
"13226","Sikorsky Aircraft Corporation S-76B",2
"13227","Sikorsky Aircraft Corporation S-76C",3
"13228","Sikorsky Aircraft Corporation S-92A",1
"13229","Sikorsky Aircraft Corporation S92A",1
"13230","Sikorsky Aircraft Model S-92A",1
"13231","Sikorsky Aircraft S-61A",1
"13232","Sikorsky Aircraft S-61L",1
"13233","Sikorsky Aircraft S-61N",1
"13234","Sikorsky Aircraft S-61N with short fuselage STC SH640NE installed",1
"13235","Sikorsky Aircraft S-76B ",1
"13236","Sikorsky Aircraft S-92A",1
"13237","Sikorsky B",12
"13238","Sikorsky C",11
"13239","Sikorsky C H1NE",1
"13240","Sikorsky CH-2E",1
"13241","Sikorsky CH-3 Series",1
"13242","Sikorsky CH-34C",1
"13243","Sikorsky CH-3B",2
"13244","Sikorsky CH-3C",2
"13245","Sikorsky CH-3E",1
"13246","Sikorsky CH-54A",1
"13247","Sikorsky CH-54B",1
"13248","Sikorsky D",15
"13249","Sikorsky D (T.C. H2EA",3
"13250","Sikorsky D (T.C.H2EA",2
"13251","Sikorsky D (TC H2EA",2
"13252","Sikorsky D(T.C. H2EA",1
"13253","Sikorsky D(T.C.H2EA",2
"13254","Sikorsky D(T.C.H2HEA",1
"13255","Sikorsky F",4
"13256","Sikorsky H-19G.",1
"13257","Sikorsky Helicopter S-76A",1
"13258","Sikorsky Helicopter S76B",1
"13259","Sikorsky Helicopter S76C",1
"13260","Sikorsky HH-3 Series",1
"13261","Sikorsky HH-3C",2
"13262","Sikorsky HH-3E",2
"13263","Sikorsky HH-52A",1
"13264","Sikorsky L",12
"13265","Sikorsky N",32
"13266","Sikorsky NM",35
"13267","Sikorsky R",20
"13268","Sikorsky R S64A",1
"13269","Sikorsky R00024BO S-92A",1
"13270","Sikorsky R00024BO] [S-92A",1
"13271","Sikorsky RH-3A",2
"13272","Sikorsky S-55",1
"13273","Sikorsky S-55B",1
"13274","Sikorsky S-55C",1
"13275","Sikorsky S-58B",2
"13276","Sikorsky S-58C",2
"13277","Sikorsky S-58D",1
"13278","Sikorsky S-58E",1
"13279","Sikorsky S-58F",1
"13280","Sikorsky S-58G",1
"13281","Sikorsky S-58H",1
"13282","Sikorsky S-58J",1
"13283","Sikorsky S-61-L",1
"13284","Sikorsky S-61 Series",1
"13285","Sikorsky S-61A",17
"13286","Sikorsky S-61A-4",1
"13287","Sikorsky S-61A-4 (T.C. H2EA",1
"13288","Sikorsky S-61D",3
"13289","Sikorsky S-61E",2
"13290","Sikorsky S-61L",38
"13291","Sikorsky S-61L ",3
"13292","Sikorsky S-61L  S-61N",1
"13293","Sikorsky S-61L  S-61N ",2
"13294","Sikorsky S-61L  S-61N .",1
"13295","Sikorsky S-61L  S-61N.",2
"13296","Sikorsky S-61L  S-6IN ",1
"13297","Sikorsky S-61L S-61N",1
"13298","Sikorsky S-61L S-61N ",1
"13299","Sikorsky S-61N",33
"13300","Sikorsky S-61N ",3
"13301","Sikorsky S-61N  S-61L ",1
"13302","Sikorsky S-61N (TC 1H150",1
"13303","Sikorsky S-61N Sikorsky letter CBL-AS-93-008 of 2/28/94",1
"13304","Sikorsky S-61NM",13
"13305","Sikorsky S-61R",8
"13306","Sikorsky S-61R ",1
"13307","Sikorsky S-61V",2
"13308","Sikorsky S-62A",4
"13309","Sikorsky S-62B",1
"13310","Sikorsky S-64A",3
"13311","Sikorsky S-64A (T.C. H1EA",1
"13312","Sikorsky S-64A (T.C.H1EA",1
"13313","Sikorsky S-64A (TC H1EA",1
"13314","Sikorsky S-64E",1
"13315","Sikorsky S-64F",1
"13316","Sikorsky S-76A",12
"13317","Sikorsky S-76A ",1
"13318","Sikorsky S-76A  S-76B  S-76C ",1
"13319","Sikorsky S-76B",5
"13320","Sikorsky S-76B  S-76C ",1
"13321","Sikorsky S-76C",8
"13322","Sikorsky S-76C S/N 760511",1
"13323","Sikorsky S-76C with Honeywell EDZ-756 EFIS",1
"13324","Sikorsky S-92A",1
"13325","Sikorsky S-92A ",2
"13326","Sikorsky S61A",19
"13327","Sikorsky S61A/D",2
"13328","Sikorsky S61A/D/L/N/NM/R",1
"13329","Sikorsky S61A/L/N/NM/R",1
"13330","Sikorsky S61D",1
"13331","Sikorsky S61L",11
"13332","Sikorsky S61L/N/NM",1
"13333","Sikorsky S61L/N/NM/R",1
"13334","Sikorsky S61N",6
"13335","Sikorsky S61NM",3
"13336","Sikorsky S61R",2
"13337","Sikorsky S62A",3
"13338","Sikorsky S62A/B",1
"13339","Sikorsky S64A",2
"13340","Sikorsky S64A (T.C.H1EA",1
"13341","Sikorsky S64A/F",1
"13342","Sikorsky S76 B",1
"13343","Sikorsky S76A",7
"13344","Sikorsky S76B",5
"13345","Sikorsky S76C",3
"13346","Sikorsky S76C ",1
"13347","Sikorsky S92A",1
"13348","Sikorsky Serial Numbers 760511",1
"13349","Sikorsky SH-3 Series",1
"13350","Sikorsky SH-34J",1
"13351","Sikorsky SH-3A",3
"13352","Sikorsky SH-3D",2
"13353","Sikorsky SH-3H",2
"13354","Sikorsky SH-3H.",1
"13355","Sikorsky subsequent",1
"13356","Sikorsky Subsequent",1
"13357","Sikorsky TC # 1H15",1
"13358","Sikorsky TC #: 1H15",2
"13359","Sikorsky TC #: H1NE",1
"13360","Sikorsky TC #:1H15",1
"13361","Sikorsky TC 1H15",1
"13362","Sikorsky UH-34D",1
"13363","Sikorsky V",1
"13364","Sikorsky VH-3A",2
"13365","Siller Helicopters, LLC CH-54A",1
"13366","SILVER BAY LOGGING, INC. CH-54A",1
"13367","Sky Enterprises Republic RC-3",1
"13368","Sky International Husky",1
"13369","Sky International Husky A-1",1
"13370","Sky International Inc. A-1",1
"13371","Sky International Inc. A-1A",1
"13372","Sky International Inc. A-1B",1
"13373","Sky International Inc. A-1C-180",1
"13374","Sky International Inc. A-1C-200",1
"13375","Sky International S-2",1
"13376","Sky International S-2A",1
"13377","Sky International S-2B",1
"13378","Sky International, Inc. A-1",5
"13379","Sky International, Inc. A-1A",5
"13380","Sky International, Inc. A-1B",5
"13381","Sky International, Inc. A-1C-180",5
"13382","Sky International, Inc. A-1C-200",5
"13383","SOCATA [SOCATA-Group AEROSPATIALE] [Morane Saulnier] MS 892A-150",1
"13384","SOCATA [SOCATA-Group AEROSPATIALE] [Morane Saulnier] MS 892E-150",1
"13385","SOCATA [SOCATA-Group AEROSPATIALE] [Morane Saulnier] MS893A",1
"13386","SOCATA [SOCATA-Group AEROSPATIALE] [Morane Saulnier] MS893E",1
"13387","SOCATA [SOCATA-Group AEROSPATIALE] [Morane Saulnier] MS894A",1
"13388","SOCATA [SOCATA-Group AEROSPATIALE] [Morane Saulnier] MS894E",1
"13389","SOCATA [SOCATA-Group AEROSPATIALE] TB 10",2
"13390","SOCATA [SOCATA-Group AEROSPATIALE] TB 20",2
"13391","SOCATA [SOCATA-Group AEROSPATIALE] TB 200",2
"13392","SOCATA [SOCATA-Group AEROSPATIALE] TB 21",2
"13393","SOCATA [SOCATA-Group AEROSPATIALE] TB 9",2
"13394","SOCATA Morane Saulnier MS 880B",1
"13395","SOCATA Morane Saulnier MS 885",1
"13396","SOCATA Morane Saulnier MS 892A-150",1
"13397","SOCATA Morane Saulnier MS 892E-150",1
"13398","SOCATA Morane Saulnier MS 893 E",1
"13399","SOCATA Morane Saulnier MS 893A",1
"13400","SOCATA Morane Saulnier Rallye 100S",1
"13401","SOCATA Morane Saulnier Rallye 150ST",1
"13402","SOCATA Morane Saulnier Rallye 150T",1
"13403","SOCATA MS 880B",1
"13404","SOCATA MS 885",1
"13405","SOCATA MS 892A-150",2
"13406","SOCATA MS 892E-150",2
"13407","SOCATA MS 893A",2
"13408","SOCATA MS 893E",2
"13409","SOCATA MS 894A",1
"13410","SOCATA MS 894E",1
"13411","SOCATA Rallye 100S",1
"13412","SOCATA Rallye 150ST",1
"13413","SOCATA Rallye 150T",1
"13414","SOCATA RALLYE 235C",1
"13415","SOCATA RALLYE 235E",1
"13416","SOCATA TB 10",2
"13417","SOCATA TB 20",3
"13418","SOCATA TB 200",1
"13419","SOCATA TB 21",3
"13420","SOCATA TB 9",1
"13421","SOCATA TB10",1
"13422","SOCATA TB20",1
"13423","SOCATA TB21",1
"13424","SOCATA TB9",1
"13425","SOCATA TBM 700",1
"13426","SR00767SE [Helipro]",2
"13427","SR09222RC [Rotorcraft Dev. Corp.]",2
"13428","STINSON [Consolidated Vultee Aircraft Corporation] L-5",1
"13429","STINSON [Consolidated Vultee Aircraft Corporation] L-5B",2
"13430","STINSON [Consolidated Vultee Aircraft Corporation] L-5C",2
"13431","STINSON [Consolidated Vultee Aircraft Corporation] L-5D",2
"13432","STINSON [Consolidated Vultee Aircraft Corporation] L-5E",2
"13433","STINSON [Consolidated Vultee Aircraft Corporation] L-5E-1",2
"13434","STINSON [Consolidated Vultee Aircraft Corporation] L-5G",2
"13435","Stinson [Universal] 108-2",1
"13436","Stinson [Universal] 108-3",1
"13437","STINSON 108",1
"13438","STINSON 108-1",1
"13439","STINSON 108-2",1
"13440","STINSON 108-3",1
"13441","SUDAviation Caravelle Allied Signal as installed on  GTCP85 series SE 210 Model I",1
"13442","SUDAviation Caravelle III",1
"13443","SUDAviation Caravelle VIR",1
"13444","suffix",7
"13445","Super 18 LLC Super 18 S-18-180",5
"13446","Swift Museum GC-1A",2
"13447","Swift Museum GC-1B",2
"13448","T182",1
"13449","T206H",1
"13450","T210F",1
"13451","T210G",1
"13452","T210H",1
"13453","T210J",1
"13454","Tamarack Helicopters, Inc. one of the following STC's installed  SR09257RC (Global Spar LLC",1
"13455","Tamarack Helicopters, Inc. TH-1F With STC SR00929SE",1
"13456","Tarver Propellers, LLC F200",1
"13457","Tarver Propellers, LLC F200H",1
"13458","Taylorcraft 19",2
"13459","Taylorcraft 21",1
"13460","Taylorcraft 22 (all models",1
"13461","Taylorcraft All 19",1
"13462","Taylorcraft All 21",1
"13463","Taylorcraft All 22 Models",1
"13464","Taylorcraft BC65 Models BC12D",1
"13465","Taylorcraft F19",1
"13466","TC-45G",2
"13467","TC-45H",2
"13468","TC-45J",2
"13469","TCM Engineering Report No. AER9011",1
"13470","TCM TCM Engineering Report No. AER 9101",1
"13471","Teledyne Continental ",4
"13472","Teledyne Continental 10-520",1
"13473","Teledyne Continental 11",1
"13474","Teledyne Continental 12",3
"13475","Teledyne Continental 12F",3
"13476","Teledyne Continental 14",3
"13477","Teledyne Continental 14F",3
"13478","Teledyne Continental 16",3
"13479","Teledyne Continental 16F",3
"13480","Teledyne Continental 2H",1
"13481","Teledyne Continental 3",1
"13482","Teledyne Continental 6-285-B",1
"13483","Teledyne Continental 6-320",1
"13484","Teledyne Continental 8",2
"13485","Teledyne Continental 8F",3
"13486","Teledyne Continental 9",1
"13487","Teledyne Continental A",2
"13488","Teledyne Continental A-100",1
"13489","Teledyne Continental A-12",2
"13490","Teledyne Continental A-12F",2
"13491","Teledyne Continental A-16F",1
"13492","Teledyne Continental A-2H",1
"13493","Teledyne Continental A-50",1
"13494","Teledyne Continental A-50 Series A-65 Series A-75 Series C-75 Series C-85 Series C-90 Series C-115 Series O-200 Series C-125 Series C-145 Series O-300 Series",2
"13495","Teledyne Continental A-50 Series A-65 Series A-75 Series C-75 Series C-85 Series C-90 Series C-115 Series O-200 Series C-125 Series C-145 Series O-300 Series GO-300 Series O-470 Series",1
"13496","Teledyne Continental A-65",9
"13497","Teledyne Continental A-65-8",1
"13498","Teledyne Continental A-75",9
"13499","Teledyne Continental A-80",7
"13500","Teledyne Continental A-85",1
"13501","Teledyne Continental A-8F",2
"13502","Teledyne Continental A-90",1
"13503","Teledyne Continental A-B",1
"13504","Teledyne Continental A-C",1
"13505","Teledyne Continental AB",2
"13506","Teledyne Continental AF",1
"13507","Teledyne Continental Any type certificated engine with TCM D-2000",1
"13508","Teledyne Continental Any type certificated engine with TCM S-1200 Series Magnetos Installed",1
"13509","Teledyne Continental Any type certificated engine with TCM S-20",1
"13510","Teledyne Continental B",12
"13511","Teledyne Continental BA",3
"13512","Teledyne Continental BB",5
"13513","Teledyne Continental BB with STC SE5222NM",1
"13514","Teledyne Continental C",14
"13515","Teledyne Continental C-125",7
"13516","Teledyne Continental C-125-2",1
"13517","Teledyne Continental C-12FJ",1
"13518","Teledyne Continental C-14",2
"13519","Teledyne Continental C-145",7
"13520","Teledyne Continental C-145-2",1
"13521","Teledyne Continental C-15",2
"13522","Teledyne Continental C-16",1
"13523","Teledyne Continental C-16F",1
"13524","Teledyne Continental C-75",9
"13525","Teledyne Continental C-75-12",3
"13526","Teledyne Continental C-75-15",1
"13527","Teledyne Continental C-75-8",1
"13528","Teledyne Continental C-85",7
"13529","Teledyne Continental C-85-12",2
"13530","Teledyne Continental C-85-14",1
"13531","Teledyne Continental C-85-15",1
"13532","Teledyne Continental C-85-8",1
"13533","Teledyne Continental C-90",7
"13534","Teledyne Continental C-90-12",2
"13535","Teledyne Continental C-90-8",1
"13536","Teledyne Continental C-B",1
"13537","Teledyne Continental C-C",1
"13538","Teledyne Continental C1",1
"13539","Teledyne Continental C125-2",1
"13540","Teledyne Continental C145-2",1
"13541","Teledyne Continental C75-12",1
"13542","Teledyne Continental C75-12FJ",1
"13543","Teledyne Continental C75-14",1
"13544","Teledyne Continental C75-15",1
"13545","Teledyne Continental C75-16",1
"13546","Teledyne Continental C75-16F O-200-A",1
"13547","Teledyne Continental C75-8",1
"13548","Teledyne Continental C75-B",1
"13549","Teledyne Continental C75-C",1
"13550","Teledyne Continental C85-12",1
"13551","Teledyne Continental C85-14",1
"13552","Teledyne Continental C85-15",1
"13553","Teledyne Continental C85-8",1
"13554","Teledyne Continental C90-12",1
"13555","Teledyne Continental C90-8",1
"13556","Teledyne Continental CA",1
"13557","Teledyne Continental CB",4
"13558","Teledyne Continental Continental",4
"13559","Teledyne Continental D",13
"13560","Teledyne Continental D-3000 Series Magnetos Installed",1
"13561","Teledyne Continental DB",3
"13562","Teledyne Continental E",12
"13563","Teledyne Continental E-165",6
"13564","Teledyne Continental E-185",6
"13565","Teledyne Continental E-225",6
"13566","Teledyne Continental E165-2",1
"13567","Teledyne Continental E185-1",1
"13568","Teledyne Continental E225-4",1
"13569","Teledyne Continental EB",4
"13570","Teledyne Continental Engine models are identical to those specified for OEM (10- prefixed",1
"13571","Teledyne Continental Engine models identical to those specified for OEM (10-prefix",1
"13572","Teledyne Continental ES",1
"13573","Teledyne Continental F",7
"13574","Teledyne Continental FB",1
"13575","Teledyne Continental Franklin engines",4
"13576","Teledyne Continental G",5
"13577","Teledyne Continental GB",2
"13578","Teledyne Continental GIO-470",4
"13579","Teledyne Continental GIO-470 IO-470",2
"13580","Teledyne Continental GO-300-A",2
"13581","Teledyne Continental GTSIO-520",9
"13582","Teledyne Continental GTSIO-520-C",1
"13583","Teledyne Continental GTSIO-520D",1
"13584","Teledyne Continental GTSIO-520H",1
"13585","Teledyne Continental GTSIO-520L",1
"13586","Teledyne Continental GTSIO-520N",1
"13587","Teledyne Continental H",6
"13588","Teledyne Continental HB",2
"13589","Teledyne Continental IO-240-A",1
"13590","Teledyne Continental IO-240A",1
"13591","Teledyne Continental IO-240B",1
"13592","Teledyne Continental IO-346",1
"13593","Teledyne Continental IO-346-A",1
"13594","Teledyne Continental IO-360",6
"13595","Teledyne Continental IO-360-A",1
"13596","Teledyne Continental IO-360ES",1
"13597","Teledyne Continental IO-470",6
"13598","Teledyne Continental IO-470-A",1
"13599","Teledyne Continental IO-470-M",1
"13600","Teledyne Continental IO-520",9
"13601","Teledyne Continental IO-520-B",1
"13602","Teledyne Continental IO-520-D with STCSE00215DE",1
"13603","Teledyne Continental IO-550",9
"13604","Teledyne Continental IO-550-B with STC SE5222NM",1
"13605","Teledyne Continental IO-550G",1
"13606","Teledyne Continental IO-550N",1
"13607","Teledyne Continental IO-550R",1
"13608","Teledyne Continental IOF-240-B",1
"13609","Teledyne Continental J",8
"13610","Teledyne Continental JB",4
"13611","Teledyne Continental K",8
"13612","Teledyne Continental KB",5
"13613","Teledyne Continental L",7
"13614","Teledyne Continental L IO-520-A",1
"13615","Teledyne Continental L/IO-470-A IO-550-A",1
"13616","Teledyne Continental LB",1
"13617","Teledyne Continental LB.WB",1
"13618","Teledyne Continental LO",1
"13619","Teledyne Continental LTISO-360. TSIO-360",6
"13620","Teledyne Continental LTSIO-360-E",1
"13621","Teledyne Continental LTSIO-360RB",1
"13622","Teledyne Continental LTSIO-520",8
"13623","Teledyne Continental LTSIO-520-AE",1
"13624","Teledyne Continental Lycoming",2
"13625","Teledyne Continental M",5
"13626","Teledyne Continental M.MB",1
"13627","Teledyne Continental MB",2
"13628","Teledyne Continental Motors A-100",1
"13629","Teledyne Continental Motors A-65",1
"13630","Teledyne Continental Motors A-65-8",1
"13631","Teledyne Continental Motors A-65-8F",1
"13632","Teledyne Continental Motors A-75",2
"13633","Teledyne Continental Motors A-80",1
"13634","Teledyne Continental Motors C-125",2
"13635","Teledyne Continental Motors C-125-2",1
"13636","Teledyne Continental Motors C-145",2
"13637","Teledyne Continental Motors C-145-2",1
"13638","Teledyne Continental Motors C-145-2H",1
"13639","Teledyne Continental Motors C-75",2
"13640","Teledyne Continental Motors C-75-12",1
"13641","Teledyne Continental Motors C-75-12F",1
"13642","Teledyne Continental Motors C-85",2
"13643","Teledyne Continental Motors C-85-12",1
"13644","Teledyne Continental Motors C-85-8",1
"13645","Teledyne Continental Motors C-90",2
"13646","Teledyne Continental Motors C-90-12",1
"13647","Teledyne Continental Motors C-90-12F",1
"13648","Teledyne Continental Motors C-90-16F",1
"13649","Teledyne Continental Motors C-90-8",1
"13650","Teledyne Continental Motors C-90-8F",1
"13651","Teledyne Continental Motors E-165",1
"13652","Teledyne Continental Motors E-185",1
"13653","Teledyne Continental Motors E-225",1
"13654","Teledyne Continental Motors Engine Models A-65",1
"13655","Teledyne Continental Motors Engines 10",2
"13656","Teledyne Continental Motors Engines 11",2
"13657","Teledyne Continental Motors Engines 11 E-225-2",1
"13658","Teledyne Continental Motors Engines 11B",1
"13659","Teledyne Continental Motors Engines 13",1
"13660","Teledyne Continental Motors Engines 13A",1
"13661","Teledyne Continental Motors Engines 15",1
"13662","Teledyne Continental Motors Engines 2",2
"13663","Teledyne Continental Motors Engines 3",4
"13664","Teledyne Continental Motors Engines 4",3
"13665","Teledyne Continental Motors Engines 4 E-185-1",1
"13666","Teledyne Continental Motors Engines 5",2
"13667","Teledyne Continental Motors Engines 7A",2
"13668","Teledyne Continental Motors Engines 7B",2
"13669","Teledyne Continental Motors Engines 8",4
"13670","Teledyne Continental Motors Engines 9",3
"13671","Teledyne Continental Motors Engines 9 O-470-7",1
"13672","Teledyne Continental Motors Engines B",1
"13673","Teledyne Continental Motors Engines C",1
"13674","Teledyne Continental Motors Engines D",1
"13675","Teledyne Continental Motors Engines E",1
"13676","Teledyne Continental Motors Engines E-165-2",2
"13677","Teledyne Continental Motors Engines E-185-1",1
"13678","Teledyne Continental Motors Engines E-225-2",1
"13679","Teledyne Continental Motors Engines F",1
"13680","Teledyne Continental Motors Engines GO-300-A",1
"13681","Teledyne Continental Motors Engines IO-550-G",1
"13682","Teledyne Continental Motors Engines N",1
"13683","Teledyne Continental Motors Engines O-470-4",1
"13684","Teledyne Continental Motors Engines O-470-7",1
"13685","Teledyne Continental Motors GIO-470",1
"13686","Teledyne Continental Motors GO-300-A",1
"13687","Teledyne Continental Motors GO-300-B",1
"13688","Teledyne Continental Motors GO-300-C",1
"13689","Teledyne Continental Motors GO-300-D",1
"13690","Teledyne Continental Motors GO-300-E",1
"13691","Teledyne Continental Motors GTSIO-520",1
"13692","Teledyne Continental Motors IO-346",1
"13693","Teledyne Continental Motors IO-360",1
"13694","Teledyne Continental Motors IO-470",1
"13695","Teledyne Continental Motors IO-520",1
"13696","Teledyne Continental Motors IO-550",1
"13697","Teledyne Continental Motors LTISO-360. TSIO-360",1
"13698","Teledyne Continental Motors O-200-A.",1
"13699","Teledyne Continental Motors O-300",1
"13700","Teledyne Continental Motors O-470",1
"13701","Teledyne Continental Motors O200",1
"13702","Teledyne Continental Motors Series A-50",1
"13703","Teledyne Continental Motors TSIO-470",1
"13704","Teledyne Continental Motors TSIO-520",1
"13705","Teledyne Continental N",5
"13706","Teledyne Continental NB",3
"13707","Teledyne Continental O-200-A",5
"13708","Teledyne Continental O-300",6
"13709","Teledyne Continental O-300-A",1
"13710","Teledyne Continental O-470",9
"13711","Teledyne Continental O-470-G",1
"13712","Teledyne Continental O-470 Series GO-300 Series",3
"13713","Teledyne Continental O200",6
"13714","Teledyne Continental P",2
"13715","Teledyne Continental PB",1
"13716","Teledyne Continental R",4
"13717","Teledyne Continental RB",2
"13718","Teledyne Continental S",2
"13719","Teledyne Continental S-200 Series Magnetos Installed",1
"13720","Teledyne Continental SB",1
"13721","Teledyne Continental Series A-50",4
"13722","Teledyne Continental Series O-200",2
"13723","Teledyne Continental Series O200",1
"13724","Teledyne Continental Series TCM A-50",2
"13725","Teledyne Continental T",2
"13726","Teledyne Continental TCM engineering report no. AER 9011",1
"13727","Teledyne Continental TCM Engineering Report No. AER 9101",1
"13728","Teledyne Continental TSIO-360-A",1
"13729","Teledyne Continental TSIO-360MB",1
"13730","Teledyne Continental TSIO-360RB",1
"13731","Teledyne Continental TSIO-360SB",1
"13732","Teledyne Continental TSIO-470",6
"13733","Teledyne Continental TSIO-520",10
"13734","Teledyne Continental TSIO-520-B",1
"13735","Teledyne Continental TSIO-520-D",1
"13736","Teledyne Continental TSIO-520-NB",1
"13737","Teledyne Continental TSIO-520-VB",1
"13738","Teledyne Continental TSIO-520BE",1
"13739","Teledyne Continental TSIO-550B",1
"13740","Teledyne Continental TSIO-550C",1
"13741","Teledyne Continental TSIO-550E",1
"13742","Teledyne Continental TSIO-AE",1
"13743","Teledyne Continental TSIO-AF",1
"13744","Teledyne Continental TSIO-BB",1
"13745","Teledyne Continental TSIO-C",1
"13746","Teledyne Continental TSIO-CE",1
"13747","Teledyne Continental TSIO-D",1
"13748","Teledyne Continental TSIO-DB",1
"13749","Teledyne Continental TSIO-E",1
"13750","Teledyne Continental TSIO-EB",1
"13751","Teledyne Continental TSIO-G",1
"13752","Teledyne Continental TSIO-H",1
"13753","Teledyne Continental TSIO-J",1
"13754","Teledyne Continental TSIO-JB",1
"13755","Teledyne Continental TSIO-K",1
"13756","Teledyne Continental TSIO-KB",1
"13757","Teledyne Continental TSIO-L",1
"13758","Teledyne Continental TSIO-LB",1
"13759","Teledyne Continental TSIO-M",1
"13760","Teledyne Continental TSIO-N",1
"13761","Teledyne Continental TSIO-NB",1
"13762","Teledyne Continental TSIO-P",1
"13763","Teledyne Continental TSIO-R",1
"13764","Teledyne Continental TSIO-T",1
"13765","Teledyne Continental TSIO-UB",1
"13766","Teledyne Continental TSIO-WB",1
"13767","Teledyne Continental TSIOL-550.",8
"13768","Teledyne Continental U",2
"13769","Teledyne Continental UB",2
"13770","Teledyne Continental V",1
"13771","Teledyne Continental VB",3
"13772","Teledyne Continental VO",1
"13773","Teledyne Continental W670-16",1
"13774","Teledyne Continental W670-23",1
"13775","Teledyne Continental W670-24",1
"13776","Teledyne Continental W670-6A",1
"13777","Teledyne Continental W670-6N",1
"13778","Teledyne Continental W670-K",1
"13779","Teledyne Continental W670-M",1
"13780","Teledyne Continental when installed on Lycoming",2
"13781","Texas Helicopter Co., Inc. OH-13E/M74",1
"13782","Texas Helicopter Co., Inc. OH-13H/M74A",1
"13783","Texas Helicopter Co., Inc. OH-13H/M74L",1
"13784","Texas Helicopter Co., Inc. OH-13H/Mark 5A",1
"13785","Texas Helicopter Co., Inc. OH-13H/Mark 6B",1
"13786","Texas Helicopter Co., Inc. OH-13H/Mark 6C",1
"13787","Textron-Lycoming Engine models are identical to those specified for OEM (10- prefixed",1
"13788","Textron-Lycoming Engine models identical to those specified for OEM (10-prefix",1
"13789","Textron - Lycoming LO-360 Series",1
"13790","Textron - Lycoming O-360 Series",1
"13791","Textron [Cessna] 310",1
"13792","Textron [Cessna] 310A (USAF U-3A",1
"13793","Textron Aviation 208 s/n ALL",1
"13794","Textron Aviation 208B s/n ALL",1
"13795","Textron Aviation Inc. [Cessna Aircraft Company] 401",1
"13796","Textron Aviation Inc. [Cessna Aircraft Company] 401A",1
"13797","Textron Aviation Inc. [Cessna Aircraft Company] 401B",1
"13798","Textron Aviation Inc. [Cessna Aircraft Company] 402",1
"13799","Textron Aviation Inc. [Cessna Aircraft Company] 402A",1
"13800","Textron Aviation Inc. [Cessna Aircraft Company] 402B",1
"13801","Textron Aviation Inc. [Cessna Aircraft Company] 402C",1
"13802","Textron Aviation Inc. [Cessna Aircraft Company] 411",1
"13803","Textron Aviation Inc. [Cessna Aircraft Company] 411A",1
"13804","Textron Aviation Inc. [Cessna Aircraft Company] 414",1
"13805","Textron Aviation Inc. [Cessna Aircraft Company] 414A",1
"13806","Textron Aviation Inc. [Cessna Aircraft Company] 421",1
"13807","Textron Aviation Inc. [Cessna Aircraft Company] 421A",1
"13808","Textron Aviation Inc. [Cessna Aircraft Company] 421B",1
"13809","Textron Aviation Inc. [Cessna Aircraft Company] 421C",1
"13810","Textron Aviation Inc. [Cessna Aircraft Company] 425",1
"13811","Textron Aviation Inc. [Cessna] 208",1
"13812","Textron Aviation Inc. [Cessna] 208B",1
"13813","Textron Aviation Inc. [Cessna] 210-5",1
"13814","Textron Aviation Inc. [Cessna] 210-5A (205A",1
"13815","Textron Aviation Inc. [Cessna] 500",3
"13816","Textron Aviation Inc. [Cessna] 501",3
