"","r","Freq"
"671","Air Tractor, Inc. AT-402B",2
"672","Air Tractor, Inc. AT-501",1
"673","Air Tractor, Inc. AT-502",2
"674","Air Tractor, Inc. AT-502A",2
"675","Air Tractor, Inc. AT-502B",2
"676","Air Tractor, Inc. AT-503",1
"677","Air Tractor, Inc. AT-503A",1
"678","Air Tractor, Inc. AT-602",1
"679","Air Tractor, Inc. AT-802",1
"680","Air Tractor, Inc. AT-802A",1
"681","Airbus ",6
"682","Airbus -111",1
"683","Airbus -211",1
"684","Airbus -212",1
"685","Airbus -214",1
"686","Airbus -231",1
"687","Airbus -232",1
"688","Airbus -233",1
"689","Airbus (A28NM",1
"690","Airbus (A43NM",2
"691","Airbus (A46NM",1
"692","Airbus 111",7
"693","Airbus 112",7
"694","AIRBUS 112",5
"695","Airbus 113",1
"696","AIRBUS 113",1
"697","Airbus 114",1
"698","AIRBUS 114",1
"699","AIRBUS 115",3
"700","AIRBUS 121",1
"701","AIRBUS 121 A319- 111",1
"702","Airbus 131",8
"703","AIRBUS 131",3
"704","Airbus 132",1
"705","AIRBUS 132",3
"706","AIRBUS 133",2
"707","AIRBUS 133 A320- 214",1
"708","Airbus 200",1
"709","Airbus 200 Series",1
"710","Airbus 202",3
"711","AIRBUS 202",1
"712","Airbus 203",11
"713","AIRBUS 203",1
"714","Airbus 211",17
"715","AIRBUS 211",1
"716","Airbus 212",21
"717","AIRBUS 212",3
"718","Airbus 213",6
"719","Airbus 214",1
"720","AIRBUS 214",1
"721","Airbus 221",11
"722","Airbus 221 222",1
"723","Airbus 222",15
"724","Airbus 223",2
"725","AIRBUS 223",1
"726","Airbus 231",11
"727","AIRBUS 231",3
"728","Airbus 232",5
"729","AIRBUS 232",5
"730","Airbus 233",2
"731","AIRBUS 233",2
"732","AIRBUS 233 A321- 211",1
"733","Airbus 243",2
"734","AIRBUS 243",1
